anaya@gmail.com,aanaya,asif,20,F
sobia@gmail.com,12,sobia,asif,20,F
ali123@gmail.com,abc123,Ali,Khan,25,M
maria@gmail.com,password1,Maria,Ahmed,30,F
john.doe@gmail.com,jd2024,John,Doe,28,M
sana22@gmail.com,sana@22,Sana,Malik,22,F
ahmed789@gmail.com,a789,Ahmed,Raza,35,M
nimra@gmail.com,nimra12,Nimra,Tariq,24,F
usman@hotmail.com,usman786,Usman,Bashir,27,M
sara_k@gmail.com,sara123,Sara,Khalid,21,F
bilal_92@gmail.com,bilal@92,Bilal,Akram,32,M
fatima.ali@gmail.com,fatima321,Fatima,Ali,23,F
zain999@gmail.com,zain999,Zain,Iqbal,29,M
